county,precinct,office,district,candidate,party,votes,election_day,av_counting_boards,early_voting
St. Joseph's,"Burr Oak Township, Precinct 1",President,,Kamala D. Harris,DEM,294,256,0,38
St. Joseph's,"Colon Township, Precinct 1",President,,Kamala D. Harris,DEM,432,395,0,37
St. Joseph's,"Constantine Township, Precinct 1",President,,Kamala D. Harris,DEM,322,274,0,48
St. Joseph's,"Constantine Township, Precinct 2",President,,Kamala D. Harris,DEM,209,176,0,33
St. Joseph's,"Fabius Township, Precinct 1",President,,Kamala D. Harris,DEM,697,607,0,90
St. Joseph's,"Fawn River Township, Precinct 1",President,,Kamala D. Harris,DEM,205,183,0,22
St. Joseph's,"Florence Township, Precinct 1",President,,Kamala D. Harris,DEM,137,123,0,14
St. Joseph's,"Flowerfield Township, Precinct 1",President,,Kamala D. Harris,DEM,270,227,0,43
St. Joseph's,"Leonidas Township, Precinct 1",President,,Kamala D. Harris,DEM,135,115,0,20
St. Joseph's,"Lockport Township, Precinct 1",President,,Kamala D. Harris,DEM,805,236,429,140
St. Joseph's,"Mendon Township, Precinct 1",President,,Kamala D. Harris,DEM,518,458,0,60
St. Joseph's,"Mottville Township, Precinct 1",President,,Kamala D. Harris,DEM,177,164,0,13
St. Joseph's,"Nottawa Township, Precinct 1",President,,Kamala D. Harris,DEM,568,111,328,129
St. Joseph's,"Park Township, Precinct 1",President,,Kamala D. Harris,DEM,444,364,0,80
St. Joseph's,"Sherman Township, Precinct 1",President,,Kamala D. Harris,DEM,519,439,0,80
St. Joseph's,"Sturgis Township, Precinct 1",President,,Kamala D. Harris,DEM,272,235,0,37
St. Joseph's,"White Pigeon Township, Precinct 1",President,,Kamala D. Harris,DEM,549,166,318,65
St. Joseph's,"City of Sturgis, Precinct 1",President,,Kamala D. Harris,DEM,528,262,184,82
St. Joseph's,"City of Sturgis, Precinct 2",President,,Kamala D. Harris,DEM,276,164,83,29
St. Joseph's,"City of Sturgis, Precinct 3",President,,Kamala D. Harris,DEM,237,137,70,30
St. Joseph's,"City of Sturgis, Precinct 4",President,,Kamala D. Harris,DEM,407,198,164,45
St. Joseph's,"City of Three Rivers, Precinct 1",President,,Kamala D. Harris,DEM,740,320,358,62
St. Joseph's,"City of Three Rivers, Precinct 2",President,,Kamala D. Harris,DEM,711,302,334,75
St. Joseph's,"Burr Oak Township, Precinct 1",President,,Donald J. Trump,REP,943,769,0,174
St. Joseph's,"Colon Township, Precinct 1",President,,Donald J. Trump,REP,1155,988,0,167
St. Joseph's,"Constantine Township, Precinct 1",President,,Donald J. Trump,REP,805,593,0,212
St. Joseph's,"Constantine Township, Precinct 2",President,,Donald J. Trump,REP,572,456,0,116
