county,office,district,candidate,party,election_day,absentee,votes
Kent,Registered Voters,,,,,,501117
Kent,Ballots Cast,,,,149409,214286,363695
Kent,Straight Party,,Republican Party,REP,51596,106518,54922
Kent,Straight Party,,Democratic Party,DEM,71771,103259,31488
Kent,Straight Party,,Libertarian Party,LIB,629,1512,883
Kent,Straight Party,,Working Class Party,WCP,297,766,469
Kent,Straight Party,,Green Party,GRN,229,483,254
Kent,Straight Party,,US Taxpayers Party,UST,131,287,156
Kent,Straight Party,,Natural Law Party,NLP,73,181,108
Kent,President,,Joseph R. Biden w/ Kamala D. Harris,DEM,132533,187915,55382
Kent,President,,Donald J. Trump w/ Michael R. Pence,REP,76362,165741,89379
Kent,President,,Jo Jorgensen w/ Jeremy Cohen,LIB,2596,5495,2899
Kent,President,,Howie Hawkins w/ Angela Walker,GRN,524,957,433
Kent,President,,Don Blankenship w/ William Mohr,UST,312,490,178
Kent,President,,Rocky De La Fuente w/ Darcy Richardson,NLP,119,241,122
Kent,President,,Total Votes,,213089,36203,148942
Kent,U.S. Senate,,John James,REP,83738,176795,93057
Kent,U.S. Senate,,Gary Peters,DEM,123899,175256,51357
Kent,U.S. Senate,,Marcia Squier,GRN,1652,2956,1304
Kent,U.S. Senate,,Valerie L. Willis,UST,1616,2948,1332
Kent,U.S. Senate,,Doug Dern,NLP,372,722,350
Kent,U.S. House,2,Bill Huizenga,REP,20209,43403,23194
Kent,U.S. House,2,Bryan Berghoef,DEM,27254,40212,12958
Kent,U.S. House,2,Max Riekse,LIB,503,1314,811
Kent,U.S. House,2,Jean-Michel Creviere,GRN,365,709,344
Kent,U.S. House,2,Gerald T. Van Sickle,UST,203,459,256
Kent,U.S. House,3,Hillary Scholten,DEM,96455,136587,40132
Kent,U.S. House,3,Peter Meijer,REP,65028,133337,68309
Kent,State House,72,Lily Cheng-Schulting,DEM,14566,20984,6418
Kent,State House,72,Steven Johnson,REP,10316,20277,9961
Kent,State House,73,Bryan Posthumus,REP,18612,37137,18525
Kent,State House,73,Bill Saxton,DEM,20928,27178,6250
Kent,State House,73,Theodore Gerrard,UST,402,877,475
Kent,State House,74,Mark E. Huizenga,REP,15729,34068,18339
Kent,State House,74,Meagan L. Hintz,DEM,13784,19897,6113
Kent,State House,75,David LaGrand,DEM,19388,30423,11035
Kent,State House,75,James McKeiver,REP,3213,8315,5102
Kent,State House,75,Louis Palus,WCP,514,1234,720
Kent,State House,75,Marco T. Bulnes,GRN,407,798,391
Kent,State House,76,Rachel Hood,DEM,23946,33887,9941
Kent,State House,76,Doug Zandstra,REP,9864,20111,10247
Kent,State House,77,Tommy Brann,REP,14566,30215,15649
Kent,State House,77,Bob Smith,DEM,13021,20195,7174
Kent,State House,86,Thomas A. Albert,REP,14701,28302,13601
Kent,State House,86,Sue Hayes,DEM,12941,16970,4029
Manistee,Registered Voters,,,,,,21962
Manistee,Ballots Cast,,,,,,15462
Manistee,Straight Party,,Democratic Party,DEM,1141,2541,1400
Manistee,Straight Party,,Republican Party,REP,1061,4338,3277
Manistee,Straight Party,,Libertarian Party,LIB,19,53,34
Manistee,Straight Party,,U.S. Taxpayers Party,UST,6,21,15
Manistee,Straight Party,,Working Class Party,WCP,11,49,38
Manistee,Straight Party,,Green Party,GRN,4,15,11
Manistee,Straight Party,,Natural Law Party,NLP,5,11,6
Manistee,President,,Joseph R. Biden / Kamala D. Harris,DEM,2731,6107,3376
Manistee,President,,Donald J. Trump / Michael R. Pence,REP,2125,8321,6196
Manistee,President,,Jo Jorgensen / Jeremy Cohen,LIB,54,154,100
Manistee,President,,Don Blankenship / William Mohr,UST,11,28,17
Manistee,President,,Howie Hawkins / Angela Walker,GRN,13,34,21
Manistee,President,,Rocky De La Fuente / Darcy Richardson,NLP,4,10,6
Manistee,President,,Total Votes,,4938,14655,9717
Manistee,U.S. Senate,,Gary Peters,DEM,2633,5995,3362
Manistee,U.S. Senate,,John James,REP,2218,8356,6138
Manistee,U.S. Senate,,Valerie L. Willis,UST,29,101,72
Manistee,U.S. Senate,,Marcia Squier,GRN,28,81,53
Manistee,U.S. Senate,,Doug Dern,NLP,10,30,20
Manistee,U.S. Senate,,Unresolved Write-In,,3,13,10
Manistee,U.S. House,1,Dana Ferguson,DEM,2375,5348,2973
Manistee,U.S. House,1,Jack Bergman,REP,2449,8896,6447
Manistee,U.S. House,1,Ben Boren,LIB,51,190,139
Manistee,U.S. House,1,Unresolved Write-In,,1,14,13
Manistee,State House,101,Beth McGill-Rizer,DEM,2386,5283,2897
Manistee,State House,101,Jack O'Malley,REP,2505,9231,6726
Manistee,State House,101,Unresolved Write-In,,2,17,15
Marquette,Registered Voters,,,,,,54865
Marquette,Ballots Cast,,,,,,37990
Marquette,Straight Party,,Democratic Party,DEM,,,10851
Marquette,Straight Party,,Republican Party,REP,,,7431
Marquette,Straight Party,,Libertarian Party,LIB,,,173
Marquette,Straight Party,,U.S. Taxpayers Party,UST,,,25
Marquette,Straight Party,,Working Class Party,WCP,,,125
Marquette,Straight Party,,Green Party,GRN,,,67
Marquette,Straight Party,,Natural Law Party,NLP,,,17
Marquette,President,,Joseph R. Biden / Kamala D. Harris,DEM,,,20465
Marquette,President,,Donald J. Trump / Michael R. Pence,REP,,,16286
Marquette,President,,Jo Jorgensen / Jeremy Cohen,LIB,,,511
Marquette,President,,Don Blankenship / William Mohr,UST,,,43
Marquette,President,,Howie Hawkins / Angela Walker,GRN,,,131
Marquette,President,,Rocky De La Fuente / Darcy Richardson,NLP,,,22
Marquette,President,,Total Votes,,,,37460
Marquette,U.S. Senate,,Gary Peters,DEM,,,20408
Marquette,U.S. Senate,,John James,REP,,,16247
Marquette,U.S. Senate,,Valerie L. Willis,UST,,,179
Marquette,U.S. Senate,,Marcia Squier,GRN,,,302
Marquette,U.S. Senate,,Doug Dern,NLP,,,42
Marquette,U.S. Senate,,Unresolved Write-In,,,,26
Marquette,U.S. House,1,Dana Ferguson,DEM,,,19281
Marquette,U.S. House,1,Jack Bergman,REP,,,17217
Marquette,U.S. House,1,Ben Boren,LIB,,,560
Marquette,U.S. House,1,Unresolved Write-In,,,,36
Marquette,State House,109,Sara Cambensy,DEM,,,21510
Marquette,State House,109,Melody Wagner,REP,,,12260
Marquette,State House,109,Jim Hafeman,UST,,,442
Marquette,State House,109,Unresolved Write-In,,,,47
Marquette,State House,110,Janet Metsa,DEM,,,1329
Marquette,State House,110,Gregory Markkanen,REP,,,1275
Marquette,State House,110,Rick Sauermilch,GRN,,,23
Marquette,State House,110,Unresolved Write-In,,,,3
Genesee,Straight Party,,Democratic Party,DEM,24727,54056,78783
